angle	ws (m/s)	Freq
0	4	0.000438443
0	5	0.000499948
0	6	0.000530553
0	7	0.000531027
0	8	0.000505234
0	9	0.000459214
0	10	0.000400061
0	11	0.000334833
0	12	0.000269675
0	13	0.000209264
0	14	0.000156598
0	15	0.000113088
0	16	7.89E-05
0	17	5.31E-05
0	18	3.46E-05
0	19	2.17E-05
0	20	1.32E-05
0	21	7.77E-06
0	22	4.42E-06
0	23	2.43E-06
0	24	1.29E-06
0	25	6.63E-07
3	4	0.000440583
3	5	0.000501889
3	6	0.000531966
3	7	0.000531674
3	8	0.000505004
3	9	0.00045813
3	10	0.000398262
3	11	0.000332534
3	12	0.000267122
3	13	0.00020669
3	14	0.000154192
3	15	0.000110977
3	16	7.71E-05
3	17	5.17E-05
3	18	3.35E-05
3	19	2.10E-05
3	20	1.27E-05
3	21	7.43E-06
3	22	4.20E-06
3	23	2.30E-06
3	24	1.22E-06
3	25	6.21E-07
6	4	0.00043669
6	5	0.000497519
6	6	0.000527436
6	7	0.00052728
6	8	0.000500989
6	9	0.00045466
6	10	0.000395419
6	11	0.000330327
6	12	0.000265501
6	13	0.000205566
6	14	0.000153461
6	15	0.000110536
6	16	7.69E-05
6	17	5.16E-05
6	18	3.35E-05
6	19	2.10E-05
6	20	1.27E-05
6	21	7.45E-06
6	22	4.22E-06
6	23	2.31E-06
6	24	1.22E-06
6	25	6.26E-07
9	4	0.000428031
9	5	0.000488179
9	6	0.000518224
9	7	0.000518898
9	8	0.000493943
9	9	0.000449221
9	10	0.000391629
9	11	0.000328037
9	12	0.00026444
9	13	0.000205407
9	14	0.000153882
9	15	0.00011126
9	16	7.77E-05
9	17	5.24E-05
9	18	3.41E-05
9	19	2.15E-05
9	20	1.31E-05
9	21	7.72E-06
9	22	4.40E-06
9	23	2.42E-06
9	24	1.29E-06
9	25	6.65E-07
12	4	0.00041597
12	5	0.000475288
12	6	0.00050564
12	7	0.000507588
12	8	0.000484592
12	9	0.000442177
12	10	0.000386913
12	11	0.000325413
12	12	0.000263501
12	13	0.000205677
12	14	0.000154897
12	15	0.000112631
12	16	7.91E-05
12	17	5.37E-05
12	18	3.52E-05
12	19	2.24E-05
12	20	1.37E-05
12	21	8.15E-06
12	22	4.68E-06
12	23	2.60E-06
12	24	1.40E-06
12	25	7.28E-07
15	4	0.000401834
15	5	0.000460227
15	6	0.00049096
15	7	0.000494394
15	8	0.00047366
15	9	0.000433901
15	10	0.00038132
15	11	0.000322235
15	12	0.000262277
15	13	0.000205866
15	14	0.000155971
15	15	0.000114141
15	16	8.07E-05
15	17	5.52E-05
15	18	3.65E-05
15	19	2.34E-05
15	20	1.45E-05
15	21	8.66E-06
15	22	5.02E-06
15	23	2.82E-06
15	24	1.53E-06
15	25	8.05E-07
18	4	0.000386837
18	5	0.000444273
18	6	0.000475383
18	7	0.000480316
18	8	0.000461873
18	9	0.000424812
18	10	0.000374971
18	11	0.000318371
18	12	0.000260451
18	13	0.000205544
18	14	0.000156629
18	15	0.000115326
18	16	8.21E-05
18	17	5.65E-05
18	18	3.76E-05
18	19	2.43E-05
18	20	1.51E-05
18	21	9.14E-06
18	22	5.35E-06
18	23	3.03E-06
18	24	1.66E-06
18	25	8.81E-07
21	4	0.000372042
21	5	0.000428561
21	6	0.00046
21	7	0.000466303
21	8	0.00044996
21	9	0.00041538
21	10	0.000368072
21	11	0.000313794
21	12	0.000257811
21	13	0.000204378
21	14	0.000156472
21	15	0.000115774
21	16	8.28E-05
21	17	5.73E-05
21	18	3.84E-05
21	19	2.49E-05
21	20	1.56E-05
21	21	9.49E-06
21	22	5.58E-06
21	23	3.18E-06
21	24	1.75E-06
21	25	9.37E-07
24	4	0.000358372
24	5	0.000414094
24	6	0.000445803
24	7	0.000453241
24	8	0.000438633
24	9	0.000406102
24	10	0.000360895
24	11	0.000308564
24	12	0.000254242
24	13	0.000202122
24	14	0.00015518
24	15	0.000115136
24	16	8.26E-05
24	17	5.73E-05
24	18	3.85E-05
24	19	2.50E-05
24	20	1.57E-05
24	21	9.58E-06
